id,query,dimension_tuple_json,query_type,is_realistic_and_kept,notes_for_filtering
SYN010,"simple vegetarian meal, easy and fast 🥕🍅","{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail"",""UserContextOrScenario"":""regular_meal"",""UserAbilityOrAccessibility"":""total_beginner""}",regular,1,
AMB009,"Can I use expired spices for my dish, and will it still taste good regardless?",,ambiguous,1,
SYN007,i need an easy recipe for vegetarians in under 30 mins! plz,"{""DietaryNeedsOrRestrictions"":""vegetarian"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail"",""UserContextOrScenario"":""regular_meal"",""UserAbilityOrAccessibility"":""total_beginner""}",regular,1,
SYN027,"Looking for a not too complicated gluten-free dish using quinoa & black beans. No pasta or Italian flavors since I want something different. Cooking for a group, and I might need a little help since I have limited mobility, so easy steps would be appreciated!","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans"",""CuisinePreference"":""avoid_specific: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail"",""UserContextOrScenario"":""group_cooking"",""UserAbilityOrAccessibility"":""physically_impaired""}",regular,1,
AMB005,"Can I make a salad that feels like comfort food, or is that just a contradiction?",,ambiguous,1,
SYN047,any chance you could suggest a detailed italian keto dish that uses chicken and broccoli? it’s for a special event and I want it to be fancy.  I have about an hour to make it in?,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: chicken, broccoli"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail"",""UserContextOrScenario"":""special_occasion"",""UserAbilityOrAccessibility"":""experienced_cook""}",regular,1,
SYN033,"could u recommend a middle eastern recipe that uses lamb and herbs? must be halal.  I am bored of easy recipes, I need something nice to lift my spirits 🌟","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: lamb, herbs"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail"",""UserContextOrScenario"":""emotional_support_needed"",""UserAbilityOrAccessibility"":""visually_impaired""}",regular,1,
SYN040,what’s a good advanced indian recipe that’s diabetic-friendly? I have loads of time,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail"",""UserContextOrScenario"":""learning_or_education"",""UserAbilityOrAccessibility"":""experienced_cook""}",regular,1,
SYN039,"I'm interested in making a diabetic-friendly Indian dish, something sophisticated and challenging.","{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""natural_question_moderate_detail"",""UserContextOrScenario"":""learning_or_education"",""UserAbilityOrAccessibility"":""experienced_cook""}",regular,1,
SYN034,"I'm looking for a recipe with lamb and herbs that is halal and fits into middle eastern cuisine. I can spend around 30-60 mins on it, let's say I'm intermediate skill level 😊","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""must_use_specific: lamb, herbs"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail"",""UserContextOrScenario"":""emotional_support_needed"",""UserAbilityOrAccessibility"":""visually_impaired""}",regular,0,
