id,query
1,"I'm a complete beginner and want to learn how to make pasta. I'm not allergic to anything but I don't like mushrooms."
2,"Can you teach me how to make a simple soup? I have about 30 minutes and I'm allergic to nuts."
3,"I tried making scrambled eggs but they turned out rubbery. What did I go wrong?"
4,"I want to cook something healthy for dinner tonight. I don't eat meat and I'm lactose intolerant."
5,"Help me make bread! I've never baked before but I have all day to try."
6,"I want to make a simple tomato sauce from scratch. I don't have any allergies but I don't like spicy food."
7,"What's an easy dessert I can make for my family? No one has allergies but my sister hates coconut."
8,"I want to learn knife skills. Can you teach me how to properly chop an onion?"
9,"I want to learn how to make a stir-fry. I'm allergic to peanuts and I don't like bell peppers."
10,"Can you suggest a simple breakfast recipe? I only have 10 minutes in the morning and I'm allergic to eggs."
