id,query,dimension_tuple_json,is_realistic_and_kept,notes_for_filtering
SYN001,need low carb meal ideas under 30 min,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN002,looking for a quick and easy low-carb recipe,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN003,Low Carb Dinner? Simple and fast needed!,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN004,need quick lowcarb recip in 30 mins,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN005,pls give me a low carb recipe from pantry thx 😋,"{""DietaryNeedsOrRestrictions"":""low-carb"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN006,can you suggest an advanced halal Indian dish that takes around 30 to 60 minutes to prepare?,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN007,Looking for a complex Indian recipe that is halal! 🥘 Something that will take a while but is worth it!,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN008,"I really wanna cook something intricate and halal for dinner, preferably an Indian cuisine that's moderately time-consuming - any suggestions?","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN009,"need an advanced recipe for an indian halal dish plz, something that requires more effort and takes about 30-60 mins","{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN010,what's a challenging halal Indian recipe I can try that will take between 30 and 60 minutes?,"{""DietaryNeedsOrRestrictions"":""halal"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""specific_cuisine: indian"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN011,vegan dinner with chickpeas tahini garlic please,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, tahini, garlic"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN012,need a Middle Eastern recipe using chick peas 🍽️,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, tahini, garlic"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN013,looking for mid level vegan dish chickpeas tahini garlic,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, tahini, garlic"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN014,whats an easy vegan meal with chickpeas?,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, tahini, garlic"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN015,need quick meal with tahini and garlic for vegans,"{""DietaryNeedsOrRestrictions"":""vegan"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, tahini, garlic"",""CuisinePreference"":""specific_cuisine: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN016,i need a detailed recipe for italian salmon with lemon and dill that i can manage with moderate effort,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, dill"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN017,"Can u give me a good Italian recipe that uses salmon, lemon, and dill? I’ve got flexible time to cook","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, dill"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN018,any ideas for making salmon for dinner i want some italian flavors and i have dill and lemons on hand,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, dill"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN019,"looking for moderate effort Italian dish, must use Salmon, Dill, & Lemon! I have plenty of time to cook ❤️","{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, dill"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN020,Need a recipe for a Italian dinner with salmon lemon and dill plz! Something that won't be too easy or too hard!,"{""DietaryNeedsOrRestrictions"":""pescatarian"",""AvailableIngredientsFocus"":""must_use_specific: salmon, lemon, dill"",""CuisinePreference"":""specific_cuisine: italian"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN021,can u give me a gluten free recipe with quinoa black beans and bell peppers ? im looking for something quick and moderately challenging,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell peppers"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN022,looking for a gLuten-free dish using quinoa n black beans plus bell peppers... something that won't take more than 30 mins plz!,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell peppers"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN023,"i need a quick gluten free meal idea that includes quinoa, black beans, and bell peppers that's not too easy but also not too hard ????","{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell peppers"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN024,want a recipe that uses black beans bell peppers quinoa AND is gluten free... something i can whip up in under 30 minutes?,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell peppers"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN025,HELP! i want to make a gluten free dish with quinoa black beans+ bell peppers but need it to be of moderate effort n quick! thx,"{""DietaryNeedsOrRestrictions"":""gluten-free"",""AvailableIngredientsFocus"":""must_use_specific: quinoa, black beans, bell peppers"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN026,need quick nut free recipe with eggplant and tomatoes,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: eggplant, tomatoes, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN027,what's an easy dinner using eggplant tomatoes and herbs,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: eggplant, tomatoes, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN028,Looking for nUt fRee dishes to make in under 30 min,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: eggplant, tomatoes, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN029,"pls help! quick recipes with eggplant, tomatoes 🥘","{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: eggplant, tomatoes, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN030,easy nut free meal with eggplant and herbs in 30 mins,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: eggplant, tomatoes, herbs"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""beginner_easy_low_effort"",""TimeAvailability"":""quick_under_30_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN031,i'm searching for an advanced keto recipe that incorporates any cuisine but no specific ingredients 😅,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN032,Could you suggest a complex keto dish that I can spend some time preparing? I'm open to any cuisine,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN033,need help with a really intricate keto recipe doesn't matter what cuisine just need it to be challenging,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN034,i want a high-effort keto meal that can be from any cuisine. i'm flexible with time so no pressure!,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN035,What's a detailed keto recipe that would take considerable effort? I have no specific ingredients in mind and open to all cuisines!,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN036,can you suggest a high-protein mexican recipe using common pantry items?,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN037,i need a good mexican dish that’s high in protein and can be made in under an hour,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN038,Looking for a flavorful high-protein Mexican recipe with pantry staples,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN039,what’s a high protein recipe i can whip up with some basic ingredients in an hour?,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN040,high protein mexcian recipe please! want to use what I have in the pantry 😋,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mexican"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",1,
SYN041,hi there! i'm looking for a diabetic-friendly advanced mediterranean recipe that i can make using general pantry items. I have flexible time so i want something complex and really flavorful.,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN042,"can u help me find a diabetic-friendly meal? I'm craving mediterranean food🔪🍅, and I have lots of general pantry ingredients. I want it to be advanced and require significant effort. Time's not a problem!","{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN043,"I need a detailed recipe for a diabetic-friendly, advanced-level mediterranean dish. I've got plenty of stuff in my pantry so I'm open to using whatever. also, time is flexible so I want to make it a fun cooking experience!","{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN044,whats a really complex meditteranean recipe that fits my diabetic diet?? looking for something that uses basic pantry stuff and takes time to make-i have no rush on time at all,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN045,hey! i'm trying to get creative with my cooking 🙌. looking for diabetic-friendly advanced mediterranean recipes that utilize what i have in my pantry. I can spend all day so something intricate would be great!,"{""DietaryNeedsOrRestrictions"":""diabetic-friendly"",""AvailableIngredientsFocus"":""general_pantry"",""CuisinePreference"":""specific_cuisine: mediterranean"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN046,keto recipe using zucchini ground beef cheese in 30-60mins,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground beef, cheese"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN047,need dinner idea with zucchini beef cheese keto style!,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground beef, cheese"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN048,looking for a ket0 friendly meal with beef zucchini chz,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground beef, cheese"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN049,what's a good recipe for ground beef zucchini n cheese keto?,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground beef, cheese"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN050,pls give me keto recipe with zucchini+beef+cheese thx😊,"{""DietaryNeedsOrRestrictions"":""keto"",""AvailableIngredientsFocus"":""must_use_specific: zucchini, ground beef, cheese"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN051,hey can u suggest an advanced recipe high in protein but like from any cuisine? i have all the time in the world to cook but i want somethin complex with layers of flavor 😋,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN052,looking for a super challenging high-protein dish from any cuisine that i can spend time on! no ingredients in mind but having a flexible schedule means i want to create something impressive,"{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN053,"I want to tackle a complex high-protein recipe, any cuisine works! hit me up with detailed instructions that require advanced skills and creativity!","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN054,"need an epic recipe that's super high in protein and really complex, no specific ingredients in mind. I have all the time I want to focus on making this awe-somely intricate dish!!!","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN055,"whats a high-protein recipe i can spend a day on? like, i want it to be complex and challenging, and i don't have specific ingredients in mind, any cuisine is good 🥘✨","{""DietaryNeedsOrRestrictions"":""high-protein"",""AvailableIngredientsFocus"":""no_specific_ingredients"",""CuisinePreference"":""any_cuisine"",""SkillLevelEffort"":""advanced_complex_high_effort"",""TimeAvailability"":""flexible_no_time_constraint"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",1,
SYN056,any good nut-free recipe with chickpeas avocado tomatoes,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocado, tomatoes"",""CuisinePreference"":""avoid_specific: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
SYN057,looking for a hearty recipe that uses chickpeas and avocados,"{""DietaryNeedsOrRestrictions"":""nut-free"",""AvailableIngredientsFocus"":""must_use_specific: chickpeas, avocado, tomatoes"",""CuisinePreference"":""avoid_specific: middle eastern"",""SkillLevelEffort"":""intermediate_moderate_effort"",""TimeAvailability"":""moderate_30_to_60_mins"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",1,
